year;month;hour;state_event;country_event;airline_operator;route;aircraft_type;total_aboard;passengers_aboard;crew_aboard;all_fatalities;passengers_fatalities;crew_fatalities;all_killed_ground
1946;7;;;China;Central Air Transport;;Curtiss C-46;49.0;47.0;2.0;13.0;11.0;2.0;0.0
1946;7;;;Ecuador;ANDESA;Guayaquil - Cuenca;Curtiss C-46D-10-CU;30.0;27.0;3.0;30.0;27.0;3.0;0.0
1946;7;21.0;Kansas;United States;Military - U.S. Army Air Corps;Topeka - Denver;Douglas C-47;13.0;10.0;3.0;13.0;10.0;3.0;0.0
1946;7;12.0;;;Military -  (2) U.S. Army Air Forces;;Boeing B-17G / Boeing B-17G;20.0;;;20.0;;;0.0
1946;7;;;Burma;Military -Royal Air Force;;Douglas C-47 Dakota;22.0;18.0;4.0;22.0;18.0;4.0;0.0
1946;7;8.0;;Mexico;Communicaciones Aereos de veracruz;Jalapa - Cordoba;Fairchild Pilgrim 100A;9.0;;;9.0;;;0.0
1946;8;;;Norway;British European Airways;Northolt - Oslo;Douglas C-47A-10-DK;16.0;11.0;5.0;3.0;0.0;3.0;0.0
1946;8;;New Jersey;United States;Atlantic Central Airlines;Atlantic City - Newark;Lockheed 18-56 Lodestar;6.0;4.0;2.0;4.0;2.0;2.0;0.0
1946;8;;;Malta;BOAC;;Douglas C-47A;5.0;0.0;5.0;1.0;0.0;1.0;0.0
1946;8;;;France;British Overseas Airways;Palestine - London;Avro 691 Lancastrian 1;9.0;0.0;9.0;8.0;0.0;8.0;0.0
1946;8;4.0;Illinois;United States;Trans Luxury Airlines;Teterboro - Chicago - San Francisco;Douglas C-47-DL;25.0;22.0;3.0;2.0;0.0;2.0;0.0
1946;8;;;Egypt;Misrair;;Avro Anson;9.0;;;6.0;;;0.0
1946;8;;;Canada;Queen Charlotte Airlines;Stewart - Prince Rupert;Supermarine Stranraer (flying boat);7.0;3.0;4.0;7.0;3.0;4.0;0.0
1946;9;17.0;;Denmark;Air France;Copenhagen - Paris;Douglas DC-3 (C-53D-DO);22.0;17.0;5.0;22.0;17.0;5.0;0.0
1946;9;9.0;;France;Air France;Paris - Croydon;Douglas DC-3;26.0;21.0;5.0;20.0;18.0;2.0;1.0
1946;9;;Nevada;United States;Trans-Luxury Airlines;New York City - San Francisco;Douglas DC-3 (C-47-A5-DL);22.0;19.0;3.0;21.0;18.0;3.0;0.0
1946;9;;;Gambia;British South American Airways;Bathrust, - Argentina;Avro 685 York I;24.0;20.0;4.0;24.0;20.0;4.0;0.0
1946;9;;Alaska;United States;Mt. McKinley Airfreight;;Douglas C-47A;4.0;2.0;2.0;4.0;2.0;2.0;0.0
1946;9;;;Canada;Military - Royal Canadian Air Force;;Douglas C-47A Dakota;21.0;;;21.0;;;0.0
1946;9;1.0;;Belgium;Sabena;Brussels - Croydon;Douglas C-47-DL;7.0;4.0;3.0;1.0;0.0;1.0;0.0
1946;9;4.0;;;Sabena;Brussels - Shannon - Gander - New York City;Douglas DC-4-1009;44.0;37.0;7.0;27.0;21.0;6.0;0.0
1946;9;;;Libya;Military -Royal Air Force;St. Mawan, England - Almaza, Egypt;Avro Lancaster;25.0;19.0;6.0;25.0;19.0;6.0;0.0
1946;9;;;China;China National Aviation Corporation;Sichang - Kunming, Yunnan;Curtiss Wright C-46;28.0;25.0;3.0;28.0;25.0;3.0;0.0
1946;9;9.0;;;Military - Royal Air Force;Hong Kong - Singapore;Douglas C-47B-25-DK;19.0;14.0;5.0;19.0;14.0;5.0;0.0
1946;9;;;;Railway Air Service Ltd.;Islay - Glascow;de Havilland 89A Dragon Rapide;7.0;5.0;2.0;7.0;5.0;2.0;0.0
1946;9;17.0;;Brazil;Panair do Brasil;Belo Horizonte  - Rio de Janerio;Douglas DC-3A-228D;25.0;22.0;3.0;25.0;22.0;3.0;0.0
1946;10;;;;American Overseas Airlines;Gander - Shannon;Douglas C-54E-5-DO;39.0;31.0;8.0;39.0;31.0;8.0;0.0
1946;10;7.0;;;Military -Royal Air Force;;Avro 685 York 1;21.0;15.0;6.0;21.0;15.0;6.0;0.0
1946;10;11.0;;;Military - Royal Netherlands Naval Air Service;;Fairey Firefly MK1;1.0;0.0;1.0;1.0;0.0;1.0;22.0
1946;10;4.0;Wyoming;United States;United Air Lines;San Francisco - Cheyenne - Chicago;Douglas DC-4;41.0;37.0;4.0;2.0;2.0;0.0;0.0
1946;10;20.0;;Morocco;Air Ocean;Paris - Casablanca;Junkers Ju-52/3m;16.0;11.0;5.0;16.0;11.0;5.0;0.0
1946;10;0.0;Wyoming;United States;National Air Transport Services;Oakland - Chicago;Douglas DC-3;13.0;10.0;3.0;13.0;10.0;3.0;0.0
1946;10;;;India;Military - Royal Air Force;;Douglas C-47B;11.0;;;11.0;;;0.0
1946;10;;;Egypt;Socotra;Paris - Cairo;Junkers JU-52/3m;24.0;22.0;2.0;1.0;1.0;0.0;0.0
1946;11;;;France;CTA Languedoc Roussillon;Paris - Toulouse - Casablanca;AAC-1 Toucan;27.0;24.0;3.0;23.0;20.0;3.0;0.0
1946;11;18.0;;Russia;Aeroflot;Riga, Latvia - Moscow;Douglas C-47;26.0;;;13.0;;;
1946;11;3.0;Ohio;United States;United Air Lines;Chicago - Cleveland;Douglas DC-3 (C-53D-DO);20.0;17.0;3.0;2.0;0.0;2.0;0.0
1946;11;3.0;California;United States;Western Airlines;Palmdale - Burbank;Douglas C-53D-DO (DC-3);11.0;8.0;3.0;11.0;8.0;3.0;0.0
1946;11;8.0;;Mexico;Empressa Commun. Aéreas de Veracruz;Mexico City - Veracruz;Douglas DC-3;15.0;12.0;3.0;15.0;12.0;3.0;0.0
1946;11;;;Netherlands;KLM Royal Dutch Airlines;London - Amsterdam;Douglas C-47A-90 DL (DC-3);26.0;21.0;5.0;26.0;21.0;5.0;0.0
1946;11;23.0;;;Military - U.S. Army Air Forces;Guam - Iwo Jima;Douglas C-47;23.0;15.0;8.0;23.0;15.0;8.0;0.0
1946;11;;;Costa Rica;Lineas Aéreas Costarricenses  LACSA;;Douglas DC-3 (C-47A-90-DL);22.0;20.0;2.0;22.0;20.0;2.0;0.0
1946;11;;;Argentina;Fuerza Aérea Argentina;;Vickers 620 Viking 1;18.0;15.0;3.0;5.0;2.0;3.0;0.0
1946;12;;;Iran;Aeroflot;Meshed - Teheran;Lisunov Li-2;24.0;;;24.0;;;0.0
1946;12;13.0;;Japan;Military - U.S. Army Air Forces;;Curtiss-Wright C-46F-CU;24.0;19.0;5.0;24.0;19.0;5.0;0.0
1946;12;;Washington;United States;Military - U.S. Marine Corps;Miramar NAS, California - Sand Point NB, Seattle;Curtiss-Wright R5C-1;32.0;29.0;3.0;32.0;29.0;3.0;0.0
1946;12;;;Philippines;Far Eastern Air Transport;Grace Park AF - Lucena;Douglas DC-3 (C-47-B-1-DK);14.0;10.0;4.0;12.0;9.0;3.0;0.0
1946;12;;;;Winged Cargo Inc.;Kingston, Jamaca - San Jose;Douglas C-47A;7.0;5.0;2.0;7.0;5.0;2.0;0.0
1946;12;14.0;;Brazil;FAMA (Argentina);London - Buenos Aires.;Avro  685 York I;21.0;15.0;6.0;21.0;15.0;6.0;0.0
1946;12;19.0;California;United States;Western Airlines;Holtville - San Diego;Douglas DC-3 ( C-53D-DO);12.0;9.0;3.0;12.0;9.0;3.0;0.0
1946;12;17.0;;China;CNAC;Chunking - Shanghi;Curtiss C-47;34.0;31.0;3.0;13.0;10.0;3.0;3.0
1946;12;17.0;;China;CNAC;Chunking - Shanghi;Douglas DC-3;30.0;27.0;3.0;20.0;17.0;3.0;0.0
1946;12;17.0;;China;CATA;Chunking - Shanghai;Douglas C-47;11.0;7.0;4.0;11.0;7.0;4.0;5.0
1946;12;;Illinois;United States;Kansas City Southern Skyways;Flint, MI - Washville, IL;Douglas C-47A;2.0;0.0;2.0;2.0;0.0;2.0;0.0
1946;12;;;Ireland;Trans Continental and Western Air;Paris - Shannon;Lockheed 049 Consellation;23.0;14.0;9.0;13.0;9.0;4.0;0.0
1946;12;9.0;Indiana;United States;American Airlines;Buffalo - Chicago;Douglas DC-3 (C-50A-DO);21.0;18.0;3.0;2.0;0.0;2.0;0.0
1947;1;;;Brazil;Panair do Brasil;;Sikorsky S-43B (flying boat);14.0;11.0;3.0;11.0;8.0;3.0;0.0
1947;1;;;China;China National Aviation Corporation;Shanghai - Tsingtao - Beijing;Curtis C-46;43.0;38.0;5.0;43.0;38.0;5.0;0.0
1947;1;;New Jersey;United States;Nationwide Air Transport;Miami - Raleigh - Washington;Douglas DC-3;23.0;20.0;3.0;3.0;2.0;1.0;0.0
1947;1;17.0;;;British Overseas Airways;London - Bordeaux  - Lagos;Douglas C-47A-1-DK;16.0;11.0;5.0;8.0;4.0;4.0;0.0
1947;1;;;China;Far Eastern Air Transport;Shanghai - Manila;Douglas DC-4 (C-54A-DO);42.0;37.0;5.0;7.0;7.0;0.0;0.0
1947;1;1.0;Virginia;United States;Eastern Air Lines;Akron, OH - Winston/Salem, NC;Douglas DC-3;19.0;16.0;3.0;18.0;15.0;3.0;0.0
1947;1;9.0;;Mexico;Military - Mexican Air Force;Puebla - Oaxaca;Lockheed C-60 Lodestar;21.0;17.0;4.0;21.0;17.0;4.0;0.0
1947;1;;;Colombia;AVIANCA;Bogota - Barrancabermeja;Douglas DC-3 ( C-47-DO);17.0;13.0;4.0;17.0;13.0;4.0;0.0
1947;1;11.0;;;Spencer Airways / Ceskoslovenske Aerolinie;Croydon - Rome - Salisbury;Douglas C-47 / Douglas DC-3;23.0;18.0;5.0;12.0;11.0;1.0;0.0
1947;1;14.0;;China;China National Aviation Corporation;Canton - Chungking - Hong Kong;Douglas DC-3;19.0;16.0;3.0;19.0;16.0;3.0;0.0
1947;1;;;Hong Kong;Philippine Air Lines;;Douglas C-47A;4.0;0.0;4.0;4.0;0.0;4.0;0.0
1947;1;15.0;;Denmark;KLM Royal Dutch Airlines;Kobenhavn - Stockholm;Douglas C- C47A-30DK;22.0;18.0;4.0;22.0;18.0;4.0;0.0
1947;1;12.0;;China;China National Aviation Corporation;Shanghai - Hankow - Chungking;Curtiss C-46;26.0;24.0;2.0;25.0;23.0;2.0;0.0
1947;2;18.0;;Portugal;Air France;Paris - Bordeaux - Lisbon;Douglas DC-3C;20.0;15.0;5.0;19.0;14.0;5.0;0.0
1947;2;;Delaware;United States;International Air Freight;New York, NY - Raleigh, NC;Douglas DC-3;3.0;0.0;3.0;1.0;0.0;1.0;0.0
1947;2;17.0;;Spain;Aerovias Cuba International;Havana - Lisbon - Madrid;Douglas C-54B-15-DO;11.0;8.0;3.0;11.0;8.0;2.0;0.0
1947;2;4.0;Colorado;United States;Slick Airways;Omaha, NE - Denver, CO;Curtiss C-46E;2.0;0.0;2.0;2.0;0.0;2.0;0.0
1947;2;12.0;;Colombia;AVIANCA;Barranquilla - Bogota;Douglas DC-4;53.0;49.0;4.0;53.0;49.0;4.0;0.0
1947;2;9.0;;Italy;Military - Corrieri Aerei Militari;Rome - Cairo;Savoia-Marchetti SM-95;16.0;10.0;6.0;16.0;10.0;6.0;0.0
1947;2;16.0;;China;Military - Chinese Air Force;Sichang - Chungking;Douglas C-47;21.0;17.0;4.0;21.0;17.0;;0.0
1947;2;;;;Military - Royal Air Force;Singapore - Siagon;Douglas C-47B;12.0;9.0;3.0;12.0;9.0;3.0;0.0
1947;3;9.0;;;Aeroflot;Tbilisi - Moscow - Vnoukovo;Doublas C-47;23.0;19.0;4.0;23.0;19.0;4.0;0.0
1947;3;;;Italy;Military - Royal Air Force;Hassani - Rome - Northolt;Douglas C-47B;13.0;10.0;3.0;13.0;10.0;3.0;0.0
1947;3;14.0;;Colombia;VIARCO;Villavicencio - Bogota;Douglas C-47-DL;9.0;5.0;4.0;9.0;5.0;4.0;0.0
1947;3;15.0;;France;Air France;Lyons - Nice - Paris;Douglas DC-3 (C-47A-90-DL);23.0;18.0;5.0;23.0;18.0;5.0;0.0
1947;3;8.0;;Colombia;TACA;Medellin, Colombia - San Jose, Costa Rica;Lockheed 18 Lodestar;8.0;5.0;3.0;8.0;5.0;3.0;0.0
1947;3;;;Sri Lanka;Military - Royal Air Force;Negombo - Northolt;Avro York C1;15.0;9.0;6.0;11.0;7.0;4.0;0.0
1947;4;10.0;;Venezuela;Linea Aeropostal Venezolana;Cumana - Caracas;Douglas C-47A;27.0;24.0;3.0;27.0;24.0;3.0;0.0
1947;4;2.0;;Senegal;British South American Airways;Lisbon - Dakar;Avro 685 York I;15.0;9.0;6.0;6.0;6.0;0.0;0.0
1947;4;10.0;Georgia;United States;Delta Air Lines;Macon - Columbus;Douglas DC-3 (C-47DL) /Vultee BT-13;10.0;8.0;2.0;10.0;8.0;2.0;0.0
1947;4;23.0;;Canada;Trans Canada Air Lines;Lethbridge - Vancouver;Lockheed 18 Loadstar;15.0;12.0;3.0;15.0;12.0;3.0;0.0
1947;5;;;Costa Rica;TACA;Nicoya - San Jose;Lockheed 18 Loadstar;11.0;9.0;2.0;11.0;9.0;2.0;0.0
1947;5;9.0;New Jersey;United States;Trans Continental and Western Air;Training;Lockheed L-049 Constellation;4.0;0.0;4.0;4.0;0.0;4.0;0.0
1947;5;16.0;;Russia;Aeroflot;Nikolayevsk-on-Amur - Khabarovsk;Douglas DC-47;22.0;17.0;5.0;22.0;17.0;5.0;0.0
1947;5;19.0;New York;United States;United Air Lines;New York City - Cleveland;Douglas C-54B;48.0;44.0;4.0;43.0;41.0;2.0;0.0
1947;5;22.0;;Japan;Military - U.S. Army Air Forces;Seoul - Tachikawa;Douglas C-54D-DC (DC-4);40.0;33.0;7.0;40.0;33.0;7.0;0.0
1947;5;12.0;;Iceland;Flugefelag;Reykjavík - Akureyri;Douglas DC-3;25.0;21.0;4.0;25.0;21.0;4.0;0.0
1947;5;17.0;Maryland;United States;Eastern Air Lines;Newark - Baltimore - Miami;Douglas C-54B-15-DO;53.0;49.0;4.0;53.0;49.0;4.0;0.0
1947;6;23.0;;France;Air France;Marseille - Lyon;Junkers Ju-52;2.0;0.0;2.0;2.0;0.0;2.0;0.0
1947;6;23.0;;Brazil;Flota Aérea Mercante Argentina;Buenos Aires - Natal - London;Avro 691 Lancastrian;18.0;13.0;5.0;5.0;3.0;2.0;0.0
1947;6;18.0;Virginia;United States;Pennsylvania Central Airlines;Pittsburgh - Washington D.C.;Douglas DC-4 (C-54-DO);50.0;47.0;3.0;50.0;47.0;3.0;0.0
1947;6;23.0;;Syria;Pan American World Airways;Karachi - Istanbul;Lockheed 049-46-21 Constellation;36.0;27.0;9.0;14.0;7.0;7.0;0.0
1947;6;;;;Aeroflot;;Li-2;29.0;25.0;4.0;8.0;6.0;2.0;0.0
1947;7;;;;Air France;Bangu i- Yaoundé - Douala;Junkers JU-52/3m;13.0;10.0;3.0;13.0;10.0;3.0;0.0
1947;7;4.0;Florida;United States;Burke Air Transport;Newark - Miami;Douglas DC-3;36.0;33.0;3.0;14.0;12.0;2.0;0.0
1947;7;;;France;Aero Cargo;Paris - Vichy;Junkers Ju-52/3m;19.0;;;1.0;;;0.0
1947;7;22.0;;Iran;British Overseas Airways;Cairo - Basrah;Avro 685 York;6.0;0.0;6.0;6.0;0.0;6.0;0.0
1947;7;;;Argentina;Flota Aérea Mercante Argentina;Test flight;Avro 685 York I;6.0;0.0;6.0;2.0;0.0;2.0;2.0
1947;7;;;China;Military - Chinese Air Force;Tihua - Lanzhou;Douglas C-47;26.0;22.0;4.0;26.0;22.0;4.0;0.0
1947;8;17.0;;Argentina;British South American Airways;Buenos Aires - Santiago;Avro 691 Lancastrian 3;11.0;6.0;5.0;11.0;6.0;5.0;0.0
1947;8;;;;Military - U.S. Navy;Kodiak - Dutch Harbor;Consolidated PBY-5A Catalina;20.0;15.0;5.0;20.0;15.0;5.0;0.0
1947;8;18.0;New York;United States;American Airlines;New York - Buffalo;Douglas DC-3C;5.0;3.0;2.0;3.0;1.0;2.0;0.0
1947;8;;;Sweden;AB Aerotransport;Amsterdam - Malmo;Douglas DC-3F;5.0;0.0;5.0;1.0;0.0;1.0;0.0
1947;8;;;Romania;Transporturile Aeriene Romano-Sovietice;Constanta - Bucharest;Lisunov Li-2;8.0;5.0;3.0;3.0;3.0;0.0;0.0
1947;8;6.0;Utah;United States;Slick Airways;;Curtiss C-46E;3.0;1.0;2.0;3.0;1.0;2.0;0.0
1947;8;4.0;;Bahrain;British Overseas Airways;Karachi - Bahrain;Short Sandringham 5 (flying boat);26.0;18.0;8.0;10.0;7.0;3.0;0.0
1947;8;9.0;;Norway;Norwegian Airlines;Tromso - Oslo;Short Sandringham (flying boat);35.0;27.0;8.0;35.0;27.0;8.0;0.0
1947;10;7.0;Texas;United States;American Airlines;New York City - Dallas - Los Angeles;Douglas DC-4;54.0;49.0;5.0;0.0;0.0;0.0;0.0
1947;10;10.0;;;American International Airways;Foynes, Ireland - Botwood, Newfoundland - New York;Boeing 314A;69.0;62.0;7.0;0.0;0.0;0.0;0.0
1947;10;14.0;;Spain;Societe Aerienne du Littoral;Marseille - Oran;Bristol 170 Freighter I;43.0;39.0;4.0;41.0;38.0;4.0;0.0
1947;10;;North Carolina;United States;Stratofreight;Charlotte, NC - Gainsville, GA;Douglas DC-3;3.0;1.0;2.0;3.0;1.0;2.0;0.0
1947;10;12.0;Utah;United States;United Air Lines;Los Angeles - New York City;Douglas DC-6;53.0;48.0;5.0;53.0;48.0;5.0;0.0
1947;10;19.0;;Greece;AB Aerotransport;Istanbul-Athens-Rome-Geneve-Copenhagen-Stockholm;Douglas DC-4-1009;44.0;36.0;8.0;44.0;36.0;8.0;0.0
1947;10;13.0;Alaska;United States;Pan American World Airways;Seattle - Juneau;Douglas DC-4A;18.0;13.0;5.0;18.0;13.0;5.0;0.0
1947;10;;;India;Military - Royal Indian Air Force;;Douglas C-47B;25.0;22.0;3.0;25.0;22.0;3.0;0.0
1947;11;;;Philippines;Philippine Air Express;;Douglas DC-3;5.0;3.0;2.0;5.0;3.0;2.0;0.0
1947;11;;New Mexico;United States;American Airlines;San Francisco - Chicago - New York;Douglas DC-6;25.0;21.0;4.0;0.0;;;0.0
1947;11;;;France;Société Auxiliare de Navigation Aérienne;;Junkers Ju-52/3m;2.0;0.0;2.0;2.0;0.0;2.0;0.0
1947;11;13.0;Delaware;United States;Trans Continental and Western Air;Training;Lockheed L-049-46-26 Constellation;5.0;0.0;5.0;5.0;0.0;5.0;0.0
1947;11;15.0;;Italy;Trafik-Turist-Transportflyg;Catania - Rome;Bristol 170 Freighter XI;25.0;21.0;4.0;20.0;16.0;4.0;0.0
1947;11;18.0;;Romania;TARS;Bucurest - Prague;Lisunov Li-2;26.0;21.0;5.0;13.0;8.0;5.0;0.0
1947;11;;;;China National Aviation Corporation;;Douglas DC-3;3.0;0.0;3.0;2.0;0.0;2.0;0.0
1947;11;;Alaska;United States;Columbia Air Cargo;Fairbanks - Yakutat;Douglas DC-3C;13.0;11.0;2.0;13.0;11.0;2.0;0.0
1947;11;4.0;;;JAT Yugoslav Airlines;Zagreb - Titograd;Lisunov LI-2;22.0;19.0;3.0;22.0;19.0;3.0;0.0
1947;11;14.0;;Italy;Military - U.S. Air Force;;Douglas C-47B;20.0;15.0;5.0;20.0;15.0;5.0;0.0
1947;11;14.0;Washington;United States;Alaska Airlines;Anchorage - Seattle;Douglas C-54A;28.0;25.0;3.0;8.0;7.0;1.0;1.0
1947;12;0.0;;;Military - U.S. Air Force;Goose Bay - Westover Field, MS;Douglas C-54D-DC (DC-4);29.0;25.0;4.0;23.0;22.0;1.0;0.0
1947;12;18.0;Tennessee;United States;Military - U.S. Air Force;El Paso - Memphis;Douglas C-47-DK;20.0;16.0;4.0;20.0;16.0;4.0;0.0
1947;12;9.0;;Russia;Aeroflot;Krasnoyarsk - Omsk;Ilyushin IL-12;25.0;20.0;5.0;9.0;3.0;4.0;0.0
1947;12;;;China;Air Transport;;Short  S-29 Stirling V;30.0;;;25.0;;;0.0
1947;12;;;India;Air India;Karachi - Bombay;Douglas DC-3 (C-47);23.0;19.0;4.0;23.0;19.0;4.0;0.0
1947;12;;;Mexico;Servicio Aéreo Panini;Dorango - Leon - Mexico City;Douglas DC-2-172;10.0;7.0;3.0;5.0;3.0;2.0;3.0
1948;1;19.0;;France;Air France;Brussels - Paris;Douglas DC-3D;16.0;11.0;5.0;16.0;11.0;5.0;0.0
1948;1;;;;British European Airways;Renfrew - Northolt;Vickers 610 Viking 1B;18.0;14.0;4.0;1.0;0.0;1.0;0.0
1948;1;7.0;Georgia;United States;Coastal Air Lines;Charlston - Savannah;Douglas DC-3;27.0;25.0;2.0;18.0;17.0;1.0;0.0
1948;1;;;Algeria;Transport Comp. Algerienne de T.A.;Algiers - Biskra;Douglas DC-3;9.0;7.0;2.0;9.0;7.0;2.0;0.0
1948;1;;;Dominican Republic;Dominicana;Santa Cruz de Barahona - Santiago de los Caballeros;Douglas DC-3;32.0;29.0;3.0;32.0;29.0;3.0;0.0
1948;1;4.0;Maryland;United States;Eastern Air Lines;Atlanta - Washington D.C.;Douglas DC-3-201F;9.0;6.0;3.0;5.0;3.0;2.0;0.0
1948;1;;;China;China National Aviation Corporation;;Curtiss C-46;54.0;51.0;3.0;11.0;11.0;0.0;0.0
1948;1;10.0;California;United States;Airline Transport Carriers;Burbank - Oakland;Douglas DC-3 (C-47B-DK);32.0;29.0;3.0;32.0;29.0;3.0;0.0
1948;1;3.0;;;British South American Airways;London - Havana;Avro 688 Tudor I;31.0;25.0;6.0;31.0;25.0;6.0;0.0
1948;2;13.0;Florida;United States;Eastern Air Lines;Boston- NY-West Palm Beach- Miami;Lockheed L-649 Constellation;69.0;63.0;6.0;1.0;0.0;1.0;0.0
1948;2;16.0;;Indonesia;KLM Royal Dutch Airlines;Bandung - Jakarta - Banjoemans - Semarang;Douglas DC-3;19.0;15.0;4.0;19.0;15.0;4.0;0.0
1948;2;13.0;;Germany;Det Danske Luftfartselskab;Giessen - Bad Homberg;Douglas DC-3;21.0;17.0;4.0;12.0;8.0;4.0;0.0
1948;2;13.0;;Italy;Società Aerea Teseo;Florence - Pisa - Rome;Douglas C-47-DL;10.0;7.0;3.0;7.0;4.0;3.0;0.0
1948;2;14.0;;France;Latecoere Airlines;;Latecoere 631 (flying boat);14.0;7.0;7.0;14.0;7.0;7.0;0.0
1948;2;;;Philippines;Commercial Airways;;Douglas DC-3;12.0;9.0;3.0;12.0;9.0;3.0;0.0
1948;2;6.0;Ohio;United States;Bruning Aviation;Pittsburgh, PA - Columbus, OH;Douglas C-47A;2.0;0.0;2.0;2.0;0.0;2.0;0.0
1948;2;;;Brazil;Military - Brazilian Air Force;Rio de Janeiro - Bele - Cayenne;Douglas C-47;26.0;20.0;6.0;23.0;17.0;6.0;0.0
1948;3;;;France;Société de Transports Aériens;Oran - Perpignan - Lyon;Junkers Ju-52/3m;4.0;0.0;4.0;4.0;0.0;4.0;0.0
1948;3;21.0;;;Sabena;Brussels - London;Douglas DC-3;22.0;19.0;3.0;20.0;17.0;3.0;0.0
1948;3;;;Iceland;Loftleidir Icelandic Airlines;Vestmannaeyjar - Reykjavik;Avro Anson;4.0;2.0;2.0;4.0;2.0;2.0;0.0
1948;3;22.0;Illinois;United States;Delta Air Lines;Chicago - Miami;Douglas DC-4;13.0;9.0;4.0;12.0;8.0;4.0;0.0
1948;3;21.0;Alaska;United States;Northwest Orient Airlines;Anchorage - New York City;Douglas DC-4 (C-54G-1-DO);30.0;24.0;6.0;30.0;24.0;6.0;0.0
1948;3;;;Brazil;Cruzeiro;;Douglas DC-3;6.0;3.0;3.0;6.0;3.0;3.0;0.0
1948;3;;;Colombia;Agencia Interamericana de Aviada;El Secreto - Bogota;Douglas DC-3 (C47-DL);14.0;10.0;4.0;14.0;10.0;4.0;0.0
1948;3;7.0;;France;Indian National Airlines;Delhi - Rome - London;Vickers 604 Viking 1B;19.0;15.0;4.0;19.0;15.0;4.0;0.0
1948;4;14.0;;Germany;British European Airways / Military - Soviet Air Force;London - Berlin;Vickers Viking 1B & Soviet YAK-3 fighter;14.0;10.0;4.0;14.0;10.0;4.0;0.0
1948;4;8.0;;Nigeria;Air France;Lagos - Kano - Algiers - Paris;Douglas DC-4;6.0;0.0;6.0;1.0;0.0;1.0;0.0
1948;4;2.0;;Ireland;Pan American World Airways;Belgium - Shannon;Lockheed L-049-46 Constellation;31.0;21.0;10.0;30.0;20.0;10.0;0.0
1948;4;9.0;;;New Guinea Air Traders;Lae - Bulolo;Lockheed Hudson IIIA;37.0;33.0;4.0;37.0;33.0;4.0;0.0
1948;4;9.0;;;Aeroflot;Kirensk - Badaybo;Lisnov Li-2;29.0;25.0;4.0;28.0;24.0;4.0;0.0
1948;5;17.0;;France;Skyways of London;Croydon - Paris - Cannes;de Havilland Dove 1;4.0;2.0;2.0;4.0;2.0;2.0;0.0
1948;5;11.0;;;Sabena;Leopoldville - Libenga;Douglas DC-4-1009;32.0;25.0;7.0;31.0;24.0;7.0;0.0
1948;5;7.0;;South Africa;Mercury Aviation;Durban - Johannesburg - London;Douglas DC-3-455;13.0;8.0;5.0;13.0;8.0;5.0;0.0
1948;5;20.0;Ohio;United States;Slick Airways;Newark, NJ - Chicago, IL;Curtiss C-46E;2.0;0.0;2.0;2.0;0.0;2.0;0.0
1948;5;23.0;;;Air Transport Charter;Valence - Bovingdon;Douglas C-47A;4.0;0.0;4.0;3.0;0.0;3.0;0.0
1948;5;18.0;;Russia;Aeroflot;Petropavlovsk-Kamchatsky - Magadan;Douglas C-47;9.0;5.0;4.0;8.0;4.0;4.0;0.0
1948;5;;;Spain;Alpha Airways;Albacete - Albacete;Handley Page Halifax C-8;4.0;0.0;4.0;4.0;0.0;4.0;1.0
1948;6;20.0;;Isle Of Man;Hargreaves Airways;Birmingham, England - Isle of Man;de Havilland DH-89A Dragon Rapide;8.0;7.0;1.0;6.0;5.0;1.0;0.0
1948;6;12.0;Pennsylvania;United States;United Air Lines;Chicago - New York City;Douglas DC-6;43.0;39.0;4.0;43.0;39.0;4.0;0.0
1948;6;;;China;Cathy Pacific;Macau - Hong Kong;PBY Catalina;26.0;23.0;3.0;25.0;22.0;3.0;0.0
1948;6;;;Venezuela;Linea Aeropostal Venezolana;;Douglas DC-3;17.0;14.0;3.0;1.0;0.0;1.0;0.0
1948;7;12.0;;Belgium;Avio Linee Italiane;Milano - Brussels;Fiat G.212CP;12.0;7.0;5.0;8.0;4.0;4.0;0.0
1948;7;16.0;;;Scandinavian Airlines (SAS);Stockholm - Amsterdam - Northolt;Douglas DC-6 / RAF York;39.0;26.0;13.0;39.0;26.0;13.0;0.0
1948;7;9.0;;;Aigle Azur;Saigon - Da Lat;Douglas DC-3;16.0;13.0;3.0;16.0;13.0;3.0;0.0
1948;7;;;Brazil;Aerovias Brasil;;Douglas C-47A;5.0;2.0;3.0;5.0;2.0;3.0;0.0
1948;7;18.0;;;Cathay Pacific Airways;Macau - Hong Kong;Consolidated OA-10 Catalina;26.0;23.0;3.0;25.0;22.0;3.0;0.0
1948;7;17.0;;Canada;Rimouski Airlines;Port Meunier - Gaspé;Douglas DC-3;29.0;27.0;2.0;29.0;27.0;2.0;0.0
1948;7;9.0;;Argentina;ALFA;Rosario - Bueno Aires;Short Sandringham 2 (flying boat);24.0;18.0;6.0;18.0;16.0;2.0;0.0
1948;7;;;China;Civil Air Transport;Qingdao - Jinan;Curtiss C-46D-20-CU;19.0;16.0;3.0;19.0;16.0;3.0;0.0
1948;8;9.0;;Pakistan;Onzeair;Chaklala – Mauripur;Avro 691 Lancastrian (flying boat);4.0;0.0;4.0;4.0;0.0;4.0;0.0
1948;8;23.0;;;Air France;Fort-de-France - Port-Etienne - Paris;Latecoere 631 (flying boat);52.0;40.0;12.0;52.0;40.0;12.0;0.0
