year;month;hour;state_event;country_event;airline_operator;route;aircraft_type;total_aboard;passengers_aboard;crew_aboard;all_fatalities;passengers_fatalities;crew_fatalities;all_killed_ground
1929;6;;Ohio;United States;Continental Air Lines;;Travel Air 4000;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1929;8;;New Mexico;United States;Middle States Airlines;;Lockheed 5 Vega;4.0;2.0;2.0;4.0;2.0;2.0;0.0
1929;8;;;Russia;Ukvozduchput;;Kalinin K-4;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1929;8;;;Germany;Deutsche Lufthansa;Frankfurt - Berlin;Fokker FG II;5.0;4.0;1.0;4.0;3.0;1.0;0.0
1929;9;;California;United States;Associated Aviators;;Lockheed Vega;2.0;0.0;2.0;1.0;0.0;1.0;0.0
1929;9;11.0;New Mexico;United States;Trans Continental Air Transport;Albuquerque - Los Angeles;Ford 5-AT-B Tri Motor;8.0;5.0;3.0;8.0;5.0;3.0;0.0
1929;9;;;Iran;Imperial Airways;London, England - India;de Havilland DH-66 Hercules;5.0;2.0;3.0;3.0;1.0;2.0;0.0
1929;9;;;;Aeropostale;Toulouse, France - Casablanca, Morocco;Latecoere 25;6.0;4.0;2.0;6.0;4.0;2.0;0.0
1929;9;18.0;;;Skyways;Sightseeing;Travel Air 6000;6.0;5.0;1.0;6.0;5.0;1.0;0.0
1929;9;;Connecticut;United States;Colonial Air Transport;;Pitcairn PA-6 Mailwing;1.0;0.0;1.0;1.0;0.0;1.0;0.0
1929;9;;;Morocco;Aeropostale;Toulouse - Perpignan - Barcelona - Alicante - Casablanca;Latecoere 25-3-R;5.0;3.0;2.0;5.0;3.0;2.0;0.0
1929;9;;California;United States;Pickwick Airways;Tijuana - Nogales;Fairchild 71;2.0;0.0;2.0;1.0;0.0;1.0;0.0
1929;10;18.0;;Italy;Imperial Airways;Naples - Genoa;Short Calcutta (flying boat);7.0;5.0;2.0;7.0;5.0;2.0;0.0
